,Post_URL,Post_Title,Price,Location,Source
8,https://pittsburgh.craigslist.org/fuo/d/monaca-black-chair/7542759608.html,Black Chair,0.0,,craigslist
18,https://pittsburgh.craigslist.org/fud/d/warrendale-clearance-wholesale-prices/7544743513.html,Clearance Wholesale Prices on Name Brand Mattress,39.0, (Cranberry Mattress Loft),craigslist
29,https://pittsburgh.craigslist.org/fuo/d/sarver-arm-chair-with-upholstered-seat/7544711617.html,Arm chair with upholstered seat and back,0.0,,craigslist
30,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-20-restaurant-chairs-high/7542191799.html,"20 Restaurant chairs, high superior quality for sale",25.0, (pittsburgh),craigslist
39,https://pittsburgh.craigslist.org/fuo/d/sewickley-rare-mcm-iron-wicker-arm-chair/7538454571.html,Rare MCM Iron Wicker Arm Chair,40.0, (Sewickley),craigslist
46,https://pittsburgh.craigslist.org/fuo/d/new-brighton-folding-table-serving-table/7538329983.html,folding table / serving table,5.0, (New Brighton),craigslist
50,https://pittsburgh.craigslist.org/fuo/d/curtisville-childs-spindleback-rocker/7544675360.html,child's spindleback rocker,40.0, (Sarver),craigslist
77,https://pittsburgh.craigslist.org/fuo/d/aliquippa-vintage-cart/7533008753.html,Vintage cart,25.0, (Hopewell),craigslist
78,https://pittsburgh.craigslist.org/fuo/d/butler-decorative-kitchen-garbage-can/7533267392.html,Decorative Kitchen Garbage Can,20.0, (Butler),craigslist
95,https://pittsburgh.craigslist.org/fuo/d/mars-ornate-chair-with-embroidered-seat/7540772819.html,Ornate Chair with embroidered Seat,30.0, (Mars),craigslist
99,https://pittsburgh.craigslist.org/fuo/d/mars-bookshelf-with-storage/7536888262.html,Bookshelf with Storage,30.0, (Mars),craigslist
111,https://pittsburgh.craigslist.org/fuo/d/canonsburg-side-table-length-216width/7544616518.html,"Side Table (Length 21.6""_Width 21.6""_Height 17.6"")",5.0, (Canonsburg),craigslist
128,https://pittsburgh.craigslist.org/fuo/d/monaca-black-chair/7542759608.html,Black Chair,0.0,,craigslist
138,https://pittsburgh.craigslist.org/fud/d/warrendale-clearance-wholesale-prices/7544743513.html,Clearance Wholesale Prices on Name Brand Mattress,39.0, (Cranberry Mattress Loft),craigslist
149,https://pittsburgh.craigslist.org/fuo/d/sarver-arm-chair-with-upholstered-seat/7544711617.html,Arm chair with upholstered seat and back,0.0,,craigslist
150,https://pittsburgh.craigslist.org/fuo/d/pittsburgh-20-restaurant-chairs-high/7542191799.html,"20 Restaurant chairs, high superior quality for sale",25.0, (pittsburgh),craigslist
159,https://pittsburgh.craigslist.org/fuo/d/sewickley-rare-mcm-iron-wicker-arm-chair/7538454571.html,Rare MCM Iron Wicker Arm Chair,40.0, (Sewickley),craigslist
166,https://pittsburgh.craigslist.org/fuo/d/new-brighton-folding-table-serving-table/7538329983.html,folding table / serving table,5.0, (New Brighton),craigslist
170,https://pittsburgh.craigslist.org/fuo/d/curtisville-childs-spindleback-rocker/7544675360.html,child's spindleback rocker,40.0, (Sarver),craigslist
197,https://pittsburgh.craigslist.org/fuo/d/aliquippa-vintage-cart/7533008753.html,Vintage cart,25.0, (Hopewell),craigslist
198,https://pittsburgh.craigslist.org/fuo/d/butler-decorative-kitchen-garbage-can/7533267392.html,Decorative Kitchen Garbage Can,20.0, (Butler),craigslist
215,https://pittsburgh.craigslist.org/fuo/d/mars-ornate-chair-with-embroidered-seat/7540772819.html,Ornate Chair with embroidered Seat,30.0, (Mars),craigslist
219,https://pittsburgh.craigslist.org/fuo/d/mars-bookshelf-with-storage/7536888262.html,Bookshelf with Storage,30.0, (Mars),craigslist
231,https://pittsburgh.craigslist.org/fuo/d/canonsburg-side-table-length-216width/7544616518.html,"Side Table (Length 21.6""_Width 21.6""_Height 17.6"")",5.0, (Canonsburg),craigslist
239,https://pittsburgh.craigslist.org/fuo/d/carnegie-nice-tall-solid-wood-curio/7542911694.html,Nice tall solid wood curio cabinet with accessories,30.0, (carnegie),craigslist
63,https://daniafurniture.com/products/sparsa-52w-desk-screen,"Sparsa 52""W Desk Screen",39.0,NA,Dania
0,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
1,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
2,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
4,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
6,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
7,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
8,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
11,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
12,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
13,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
14,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
15,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
18,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
19,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
20,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
21,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
23,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
25,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
26,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
27,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
28,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
30,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
32,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
33,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
34,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
37,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
38,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
39,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
40,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
43,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
44,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
45,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
46,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
48,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
50,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
51,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
52,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
54,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
56,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
57,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
58,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
59,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
62,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
63,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
64,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
65,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
66,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
69,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
70,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
71,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
74,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
75,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
77,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
78,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
79,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
81,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
83,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
84,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
85,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
86,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
89,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
90,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
91,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
92,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
95,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
96,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
98,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
99,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
100,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
102,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
104,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
105,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
106,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
107,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
109,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
111,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
112,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
113,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
114,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
116,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
118,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
119,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
120,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
122,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
124,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
125,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
126,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
127,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
129,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
131,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
132,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
135,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
136,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
138,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
139,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
142,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
143,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
